Tourism and Hospitality,Flight Bookings,bookings/month
trend,random_on_off_stable,periodic_stable,volatile_rising,volatile_falling,volatile_rising,random_on_off_rising
Year,Business Class,Last-Minute Deals,Regional Carriers,Global Wings,SkyHigh Airlines,Charter Flights
2003,118822.13,169311.12,162795.58,161846.7,255208.04,158020.78
2004,150000,194654.13,134718.78,213603.63,180928.09,163574.48
2005,144886.34,173645.32,185724.13,151690.7,224059.08,147447.68
2006,150000,135537.43,248509.21,246095.44,151149.44,194329.35
2007,150000,132354.38,301303.36,76045.1,191547.53,50408.21
2008,150000,166739.9,82668.66,290155.37,214454.75,111611.21
2009,102550.56,193172.51,357351.61,43175.87,230956.31,215968.71
2010,136348.86,197847.04,267392.13,82489.79,155384.46,164387.62
2011,150000,71091.43,180090.42,1500.0,239213.13,205371.67
2012,1500.0,101623.48,229547.32,91175.08,220252.49,173771.34
2013,150000,181339.06,304442.79,8520.93,195283.68,159168.05
2014,150000,162982.29,247926.86,11543.27,290748.03,130072.22
2015,147477.51,152600.19,457778.34,1500.0,328467.6,9224.78
2016,166114.38,156944.25,194765.45,14031.16,457685.78,1500.0
2017,180883.44,121245.33,343310.98,1500.0,360543.31,1500.0
2018,150000,148329.1,399509.83,17242.4,283022.76,111227.69
2019,8424.75,207541.74,224079.14,70352.09,378175.08,160003.39
