Energy and Utilities,Energy Consumption per Capita,MWh/person
trend,stable_rising,exponential_falling
Year,Aethelgard City,Stellar Expanse
1968,5.01,5.07
1969,5.05,4.56
1970,5.13,4.16
1971,5.78,3.7
1972,5.74,3.4
1973,6.34,3.18
1974,6.58,2.91
1975,6.8,2.16
1976,6.91,2.21
1977,7.46,1.99
1978,7.55,1.8
1979,7.75,1.87
1980,7.59,1.54
1981,8.15,1.33
1982,8.58,1.45
1983,8.71,0.91
1984,8.94,0.92
1985,9.26,1.0
1986,9.63,0.86
1987,9.79,0.77
1988,10.14,0.57
1989,10.4,0.38
1990,10.18,0.6
1991,10.8,0.45
1992,10.9,0.53
1993,10.91,0.1
1994,11.55,0.32
1995,11.75,0.35
