Social Media and Digital Media and Streaming,Content Uploads,uploads/day
trend,exponential_falling,periodic_stable
Year,AetherNet,Luminara
1968,8673846.22,10578396.64
1969,10226476.9,11796427.47
1970,9312795.55,12633599.88
1971,7337185.61,9531274.96
1972,9529324.97,6447089.7
1973,4051941.32,10074438.06
1974,8684804.62,12395557.1
1975,1625030.65,11453442.34
1976,6209700.05,8686934.37
1977,5480032.23,8070885.1
1978,1243457.36,9978866.91
1979,2657747.18,13010383.95
1980,1530666.95,10829957.44
1981,688047.43,7799986.06
1982,4243088.43,7029411.97
1983,2708448.85,8707355.19
1984,1003046.81,12292679.3
1985,1291169.39,11577945.64
1986,100000.0,8291773.72
1987,100000.0,7937659.28
1988,2742536.07,10292873.4
1989,1393657.25,11618003.05
1990,636598.29,11300719.94
1991,2764865.93,8791907.15
1992,2842022.01,7690332.34
1993,2242176.53,10355912.87
