Retail and E-commerce,Loyalty Program Growth,users
trend,stable_rising,exponential_falling,stable_falling,periodic_stable,periodic_stable
Year,Flash Sale Subscribers,Student Discounts,SuperSaver Club,Gift Card Users,Elite Members
1973,571218.64,557868.45,596943.26,374717.86,438263.35
1974,488032.72,270131.95,232439.62,596845.58,608776.25
1975,639243.56,338425.93,459490.5,593135.77,532709.88
1976,571287.19,495603.57,559199.29,381902.42,367918.07
1977,485801.39,597396.1,559913.49,367249.55,442757.23
1978,621910.91,375245.04,652544.29,399013.65,556482.0
1979,763692.74,338611.43,737271.95,583738.93,772581.84
1980,584741.97,167684.05,632386.82,526331.8,586509.17
1981,761898.5,201795.91,478626.57,384224.77,374509.18
1982,766875.16,179495.79,717604.74,415856.87,399872.91
1983,702010.91,59190.46,395366.52,600368.09,525375.16
1984,613235.87,46598.44,752096.3,628844.13,662042.58
1985,786859.69,145723.03,575427.57,564227.64,511835.59
1986,988669.23,13859.7,586352.07,428888.94,392523.5
1987,826700.69,174045.11,662430.56,306528.26,486238.5
1988,890133.2,309034.67,769113.36,587437.1,468348.05
1989,1012720.58,102843.13,497116.78,546564.44,683417.03
1990,1039574.89,321036.99,993972.53,512568.51,565453.83
1991,1052414.48,155688.09,648469.44,357875.87,464430.26
1992,952562.68,5000.0,816636.69,516553.67,363159.71
1993,1111044.15,108775.6,927648.61,490881.82,494823.06
1994,1144466.72,5000.0,647590.16,605720.2,615875.34
1995,949681.9,5000.0,603211.52,529202.49,648576.59
