Agriculture and Food Production,Organic Farming Area,hectares
trend,random_on_off_stable,volatile_rising,stable_rising,volatile_falling,stable_falling,volatile_rising
Year,Riverbend Plantation,Sunstone Farms,Misty Meadow Acres,Golden Harvest Cooperative,Whispering Willows Estate,Ironwood Ranch
1987,1179.66,1141.33,1080.73,897.89,693.83,1507.64
1988,805.49,1655.51,1023.2,710.02,1064.96,721.47
1989,1000,951.89,887.58,632.18,905.44,832.15
1990,859.6,991.69,1059.97,1296.09,1042.84,756.67
1991,1000,1330.32,1310.15,705.03,1102.66,1242.41
1992,1000,1429.51,1422.69,1182.78,1180.03,1205.66
1993,1000,1667.9,747.91,296.24,1180.97,1532.06
1994,990.35,1576.09,1527.91,412.85,1483.54,1725.72
1995,1000,1211.53,1371.16,444.35,1295.79,1701.48
1996,10.0,1708.48,1336.89,375.18,1298.21,1858.79
1997,1000,1930.3,1555.27,380.4,1455.38,2020.26
1998,1000,2023.79,1397.94,533.13,1511.37,1812.96
1999,1000,1781.06,1541.5,238.53,1332.13,2129.04
2000,934.11,2136.95,1656.05,238.96,1467.28,1880.28
2001,1000,1802.38,1643.02,143.14,1409.92,2153.27
2002,818.31,1882.02,1527.59,412.38,1251.99,2169.35
