Science and Engineering,Research Grants Awarded,$
trend,stable_falling,random_on_off_rising,stable_falling
Year,Aether University,Starburst College,Nova Institute
2007,2296283.1,2100020.25,1960228.98
2008,2049861.04,2046917.29,1885187.24
2009,2504452.28,1445740.77,2496841.25
2010,2453855.74,474321.27,2774699.18
2011,2235603.33,1757397.12,2085767.04
2012,2242479.23,2823920.78,2490353.62
2013,2435092.08,2272285.69,2609600.97
2014,2206269.38,2843674.41,2196234.16
2015,2174233.55,2147088.64,2121814.2
2016,2579033.0,496802.12,2660707.9
2017,2573675.64,20000.0,1663868.0
2018,3185541.13,77277.73,2743633.96
2019,2111790.48,2063951.76,2640370.29
2020,2894523.89,2946507.25,2263267.52
2021,2289147.89,1870270.51,3238254.41
