Human Resources and Employee Management,Turnover Rate,%
trend,volatile_falling,periodic_stable,exponential_rising
Year,Verdant Ventures,Skyward Systems,Ironclad Industries
1990,14.62,16.14,15.1
1991,21.39,17.22,13.77
1992,13.27,16.71,18.37
1993,8.04,13.06,19.86
1994,8.5,10.46,19.89
1995,12.31,15.13,22.05
1996,11.06,19.31,26.68
1997,9.41,16.93,28.74
1998,9.24,12.49,29.27
1999,6.72,10.46,34.92
2000,8.65,15.12,38.78
2001,7.92,18.98,42.34
2002,10.88,17.12,44.91
2003,3.56,13.29,52.68
2004,1.44,11.25,56.85
2005,8.79,15.03,64.81
2006,0.2,18.76,68.51
2007,4.56,17.04,76.15
2008,1.69,13.34,82.59
2009,0.15,11.88,92.88
2010,0.15,13.87,100
2011,0.15,18.51,100
2012,0.15,16.43,100
2013,0.15,13.02,100
2014,0.15,10.74,100
2015,0.15,14.33,100
2016,0.15,19.32,100
2017,0.15,16.79,100
2018,0.15,13.6,100
2019,0.15,11.55,100
