Retail and E-commerce,Return Rate,%
trend,periodic_stable,volatile_rising,exponential_rising,stable_falling,volatile_falling,exponential_rising
Year,Direct-to-Consumer,Clothing Merchants,Flash Sale Platforms,Furniture Sellers,Electronics Retailers,Beauty Products
1970,7.96,9.56,3.48,8.88,8.8,3.36
1971,11.37,10.89,11.27,12.04,15.66,10.78
1972,11.75,17.36,14.71,8.72,7.48,10.09
1973,9.72,3.45,9.49,9.15,8.06,18.11
1974,9.12,8.21,11.41,11.81,8.97,8.27
1975,9.0,12.35,16.11,13.78,20.27,13.95
1976,11.73,6.5,16.9,9.45,6.39,19.99
1977,11.52,20.09,15.72,10.19,6.79,24.75
1978,7.02,18.22,14.5,12.6,8.31,24.93
1979,6.95,20.79,22.62,12.13,0.51,23.39
1980,9.08,15.65,27.77,10.4,7.16,19.86
1981,11.88,20.77,25.01,10.17,1.78,29.22
1982,11.71,11.82,30.41,15.23,0.1,33.1
1983,9.66,19.73,36.93,14.14,0.1,31.23
1984,7.39,19.75,40.3,15.87,5.02,35.55
1985,8.33,19.72,39.45,17.36,1.33,41.32
1986,11.64,17.3,48.04,13.86,7.4,48.41
