Education and Academics,Library Visits,visits/year
Year,Celestial College Archives,Aethelgard Art Library,Meridian Academy Collection,Borealis Research Hub
trend,exponential_rising,volatile_falling,stable_falling,stable_falling
1980,98787.65,130497.52,87108.75,93505.06
1981,87170.34,114007.07,84206.04,92191.87
1982,114992.37,77387.62,114179.46,91962.91
1983,130624.28,73300.19,124457.22,114224.7
1984,139453.32,104812.17,121515.52,121658.97
1985,151973.49,56097.18,111437.35,113038.89
1986,183598.75,38337.05,110685.44,130344.27
1987,209939.49,26312.96,111995.05,108242.34
1988,229808.47,73868.62,123399.0,122120.75
1989,240213.3,60795.64,137062.17,129535.41
