Agriculture and Food Production,Fertilizer Price,$/ton
trend,stable_rising,volatile_falling,volatile_falling,exponential_falling,exponential_rising
Year,Zephyr Cotton,Solara Sugarbeet,AquaBeans,GeoNuts,Skyberry Pulp
1985,297.3,307.58,328.84,289.47,305.8
1986,332.33,321.29,291.75,269.42,367.6
1987,302.3,238.14,228.02,265.37,354.7
1988,331.27,218.07,238.57,217.99,373.53
1989,415.24,239.18,219.52,198.46,453.53
1990,407.64,201.22,144.62,204.01,447.24
1991,420.48,195.96,213.62,175.63,546.47
1992,437.85,207.03,167.08,180.89,548.92
1993,373.81,136.57,135.57,119.8,668.83
1994,464.44,141.03,110.22,127.0,715.86
1995,449.76,137.69,46.31,82.27,837.7
1996,456.81,165.43,97.58,67.89,834.36
1997,460.6,98.66,49.13,48.75,913.29
1998,521.14,3.0,71.38,94.37,1045.2
1999,554.05,3.0,143.74,76.84,1117.7
2000,560.99,88.82,32.28,49.84,1269.94
2001,512.9,23.88,3.0,85.92,1417.58
2002,611.0,3.0,10.22,26.18,1530.79
2003,586.73,23.56,3.0,54.97,1608.24
2004,594.63,3.0,3.0,40.72,1793.28
2005,619.03,3.0,3.0,23.99,2013.01
2006,615.7,3.0,3.0,32.97,2221.19
2007,638.12,3.0,3.0,3.0,2446.33
2008,570.0,3.0,3.0,56.37,2699.64
2009,641.33,3.0,3.0,3.73,2960.46
2010,666.28,3.0,3.0,55.4,3263.85
