Agriculture and Food Production,Food Waste,tons
trend,volatile_rising,volatile_rising,random_on_off_stable
Year,AgriFlow Solutions,Verdant Distribution,FarmGate Transit
1953,8686.02,9943.85,9489.5
1954,10276.28,11495.28,10567.12
1955,11944.36,12062.45,9635.24
1956,12040.13,11733.18,9906.93
1957,13010.72,12903.82,10000
1958,13371.51,13444.3,5459.73
1959,15118.85,14703.24,10000
1960,15937.24,15419.46,10000
1961,17029.72,16019.25,10000
1962,18063.83,16678.58,10105.52
1963,17320.09,17343.45,10000
1964,19464.72,19500.78,5398.54
1965,19076.47,19319.75,10000
1966,21333.83,20484.16,10000
1967,21153.41,21332.93,10000
1968,21666.06,20823.9,10000
1969,22809.79,22795.73,7414.45
