Agriculture and Food Production,Water Usage,cubic meters
Year,Misty Meadow Acres,Starfall Organics,Whispering Willows Estate,Sunstone Farms,Riverbend Plantation,Golden Harvest Cooperative
trend,stable_falling,exponential_falling,stable_falling,volatile_rising,exponential_rising,periodic_stable
1995,2022241.3,1985248.69,1908368.93,1829401.05,2025353.98,1988275.77
1996,1991968.41,1859763.39,2047435.34,1850492.03,2105797.25,2424614.03
1997,1887206.08,1928352.41,2188894.26,2593374.48,2376957.43,2337936.37
1998,2241401.85,1474700.32,2217957.36,2010068.11,2762798.28,1743600.51
1999,2164566.12,1307059.82,2162885.06,2753449.03,2913822.87,1523931.01
2000,2136493.13,1439906.42,2219772.78,3040084.86,3471860.07,2016917.76
2001,2171630.9,1141361.22,2422760.06,2538793.1,3589616.87,2460595.83
2002,2552158.84,766958.51,2508250.68,3088753.52,3855601.66,2337655.29
2003,2397401.85,1307627.16,2624280.85,3599819.51,4324980.98,1640778.75
2004,2687869.46,726136.39,2585040.63,3783069.31,4703523.06,1494850.73
2005,2559542.11,911573.43,2631675.47,3277161.51,5222658.43,1976202.12
2006,2541002.68,702359.06,2822271.49,4283112.27,5685496.99,2494550.92
2007,2689796.99,397181.51,2758292.14,3600448.96,6357876.54,2237785.96
2008,2896980.19,548042.14,2728575.93,3748331.48,6747971.82,1778686.21
2009,2954353.99,600095.29,2781385.9,4245578.55,7359034.67,1509575.08
2010,2824561.7,220403.18,2848038.85,3806968.93,8323174.63,1993212.34
2011,2948772.34,495791.81,2833830.34,4497380.21,9319805.17,2555351.56
2012,2956116.16,328144.18,2937140.32,5027849.84,10093679.67,2281057.44
2013,3189677.57,260993.64,3167801.28,4667168.58,11109127.18,1750505.08
2014,3218342.54,259500.05,3171146.13,4422834.59,12254270.13,1530665.68
2015,3123937.55,271804.09,3369589.29,5312356.25,13482561.31,2020439.1
2016,3468246.91,526942.94,3225580.56,5284234.59,14714355.14,2528549.4
2017,3314342.54,412305.79,3373177.96,5183460.97,16319879.16,2358195.44
2018,3477862.12,472754.11,3167194.2,5985444.76,18104209.04,1748902.98
2019,3368027.05,348680.96,3312112.43,5698772.62,19625909.35,1533464.86
