Energy and Utilities,Waste Recycled,tons
Year,Silverhaven District Recycling,Aethelgard City Waste Services,Zenith Metropolis Waste Management,Stellar Expanse Resource Recovery,Meridian Territory Sanitation,Azure Coast Environmental,Borealis Township Cleanup
trend,exponential_rising,stable_falling,stable_falling,volatile_rising,stable_falling,exponential_falling,volatile_falling
2002,47534.85,41808.57,51006.58,49045.63,48315.83,54129.5,48343.33
2003,57389.96,49120.64,44935.17,50883.63,55848.2,46214.21,52435.09
2004,58108.18,52248.81,50299.68,49953.97,61045.06,45351.53,27854.61
2005,65259.26,53634.19,54882.23,50262.61,66887.08,26812.23,63827.7
2006,81804.23,53651.68,63574.96,76620.64,53696.91,34129.82,33016.99
2007,83597.27,50583.5,53661.19,56269.1,59821.52,35433.8,46597.17
2008,83758.44,66253.6,62786.53,82924.95,52987.98,34169.56,25814.7
2009,104866.55,59895.02,62824.79,49976.43,65847.02,29150.92,36826.65
2010,111806.8,67632.92,67738.1,88835.6,74805.28,29039.18,43552.55
2011,106083.84,64490.54,61750.75,94671.82,63197.5,16788.22,24174.92
2012,136324.73,60151.42,60746.17,79420.33,64959.43,16478.76,21669.11
2013,143362.21,65364.44,79336.34,100197.23,61545.09,22582.64,12809.8
2014,166449.23,72922.95,69581.05,74074.84,60933.53,15572.24,500.0
