Human Resources and Employee Management,Productivity Rate,units/hour
trend,volatile_falling,exponential_falling,exponential_falling,random_on_off_stable,stable_rising,periodic_stable
Year,Management Team,Research & Development,Administrative Support,Engineering Department,Sales Team,Operations Staff
2000,10.73,9.57,11.29,10.11,10.02,9.42
2001,10.52,8.45,9.54,10,10.7,11.65
2002,8.88,7.87,8.43,9.0,10.56,11.57
2003,8.16,7.85,8.35,10,10.94,8.44
2004,6.46,8.01,6.7,10,12.29,6.74
2005,7.15,5.37,5.26,10,12.15,9.45
2006,8.96,5.5,5.29,11.08,13.46,12.37
2007,6.57,5.33,4.84,11.01,14.14,11.3
2008,2.85,4.75,3.95,9.93,13.36,8.73
2009,2.23,3.78,3.73,9.76,13.58,7.61
2010,4.69,2.97,3.73,10,14.49,10.15
2011,4.36,3.61,2.52,2.53,15.3,12.3
2012,1.85,2.9,3.14,10,16.33,11.74
2013,1.49,2.44,3.27,10,17.29,8.41
2014,1.4,1.55,2.58,10,16.36,7.91
2015,1.42,1.41,1.36,0.23,16.66,9.69
2016,0.36,2.71,1.08,10,18.26,12.43
2017,0.71,2.16,1.65,10,18.35,11.68
2018,0.1,1.48,1.06,10,19.07,8.7
2019,0.1,1.5,0.37,10.3,20.01,7.7
2020,0.1,2.11,1.21,9.39,20.14,10.19
