Education and Academics,Student Enrollment,students
Year,Arcane University,Meridian Academy,Zenith Institute of Technology,Celestial College,Aethelgard School of Arts
trend,exponential_falling,stable_falling,stable_falling,exponential_rising,volatile_falling
1994,9235.56,10299.56,9288.35,9957.88,9036.55
1995,8951.67,10697.63,10453.46,12007.68,10593.72
1996,9048.3,10700.14,10289.61,11293.51,6809.38
1997,7364.02,10312.02,11195.87,12243.63,9176.85
1998,6448.44,10316.08,10742.43,15704.56,5501.36
1999,6038.37,11727.38,11120.92,16109.26,8125.39
2000,5329.75,11221.85,11723.41,17528.8,8554.45
2001,4631.19,11714.14,12679.86,18650.2,5233.68
2002,4930.38,12019.46,12799.15,20403.2,6425.02
2003,3991.45,13119.6,13184.88,23731.02,5463.13
2004,3654.68,12964.26,13736.41,25342.36,4509.76
2005,2411.21,13582.04,13387.64,27198.12,1309.06
2006,2911.43,14055.09,14433.2,31315.97,3494.71
2007,3023.93,13384.75,14285.39,34354.43,2806.46
2008,2722.35,14333.54,13872.43,36817.38,2050.0
2009,2489.8,14053.28,14042.76,41650.75,100.0
2010,2363.12,14068.66,14941.26,46109.08,100.0
