Sports and Entertainment,Social Media Followers,followers
trend,exponential_falling,stable_rising,stable_rising,random_on_off_stable,volatile_rising,stable_falling,volatile_rising
Year,@LuminaraPlay,@ApexAthletics,@CrimsonCometsOfficial,@NovaGamesLive,@StarburstTV,@IronwoodInvincibles,@AetherNetSports
1987,11467568.38,9224342.76,9463986.25,10097554.92,7440026.09,9652513.02,14033847.97
1988,11077590.03,12296385.45,8684523.08,7437427.44,8938135.45,11217330.78,12377928.26
1989,8088880.18,9455835.84,12046226.33,10000000.0,14792996.44,8158788.41,9292343.86
1990,8550676.15,13888227.78,10639063.01,8795526.68,16438671.39,10703888.86,12748713.07
1991,5733111.59,12205031.59,9622797.98,10000000.0,10709844.51,9206137.29,13066557.06
1992,7567055.95,10433511.15,12805706.39,10000000.0,9306126.9,10917729.46,14171075.55
1993,6799172.11,12881031.29,11375378.66,10000000.0,17526741.93,12591262.95,17052200.96
1994,3409885.51,10871565.32,11754876.68,10000000.0,17766436.42,10772426.85,18602274.41
1995,4855506.66,13202344.46,15113616.02,10000000.0,23127784.81,12159142.38,10002699.16
1996,8324277.48,15226933.14,13838119.06,4153500.25,14079509.49,13204384.46,13956625.74
1997,3023903.18,17569909.64,15367505.25,10000000.0,21199391.17,11426666.7,19581065.91
1998,3778794.84,15812242.2,14579329.7,10000000.0,20557727.78,15700653.94,21868125.32
1999,3810285.65,16561945.39,17528442.64,10000000.0,23690178.35,14809835.0,13828851.52
2000,1370340.73,15110044.51,13858264.93,1182051.6,21198898.69,11259951.04,20821477.63
2001,5627110.76,17020467.12,16217352.67,10000000.0,22306204.39,16837764.61,21439754.43
2002,1215667.49,19658978.26,16166099.38,10000000.0,27240329.58,13855643.16,23326241.46
2003,951242.34,15720170.97,16453878.8,10000000.0,22546268.32,16156794.08,17502599.39
2004,3570285.64,21190071.04,17262433.77,10000000.0,23153469.73,10709642.54,25071482.02
2005,100000.0,18979382.34,19725704.47,10000000.0,23722663.29,14811921.76,25603298.3
2006,1301622.69,19589485.43,18432955.4,10000000.0,22754972.13,16886542.34,21478750.9
2007,100000.0,22043816.98,21626380.79,1416971.38,28597145.42,14187324.82,24336852.01
2008,2409796.18,20853256.13,21575654.88,10000000.0,27849510.58,13879411.26,31521686.63
2009,1641075.8,23267373.63,20612346.63,10000000.0,28931131.88,18482254.65,28730818.63
2010,4033860.14,22013951.05,21512102.78,10000000.0,34294972.49,18371416.95,28800825.26
2011,100000.0,20713850.44,18399316.1,10000000.0,29935195.5,17959938.83,27038698.92
2012,2056848.52,23607189.58,21785197.04,7612362.82,36191832.04,17220055.0,27921624.59
