Energy and Utilities,Water Consumption,cubic meters
Year,Aethelgard Aqueduct System,AquaFlow Utilities,Silverhaven Water Board,Zenith Public Works,Azure Reservoir Management,Borealis Water Cooperative,Meridian Water Authority
trend,exponential_falling,exponential_rising,exponential_rising,volatile_falling,stable_falling,stable_falling,stable_rising
1981,31589863.05,28811359.65,31484590.91,30003749.56,29700333.21,29942674.28,30332474.18
1982,26103896.19,36053764.87,30534819.04,31973591.3,28957742.26,30918281.18,31943985.03
1983,22344941.45,37523593.41,37470199.59,20958810.85,31889247.2,31635379.14,32916675.49
1984,21380288.76,35779783.18,39255615.44,21603565.11,33784929.09,32391032.62,34517389.08
1985,20138704.1,44926672.24,43742680.11,23385647.11,33931996.5,31260239.27,37179557.03
1986,18311640.77,54656161.35,50244756.9,21405247.63,36109539.94,34415293.56,38786779.6
1987,13205439.69,53503650.45,54262236.78,24692714.0,33936274.14,35760834.32,40596537.75
1988,15140444.89,59113890.0,54088898.61,16090881.3,36812112.21,36309637.55,39899728.47
1989,13699785.42,64408331.03,64890527.84,9330491.0,38491232.37,38320496.04,44026697.14
1990,13989277.16,71606165.15,69796108.67,12321269.74,38875227.05,40412845.59,44659171.32
