Real Estate and Housing Market,Home Sales,units/month
trend,random_on_off_stable,periodic_stable,stable_falling,stable_falling,volatile_rising
Year,Crimson Bazaar,Echo Trade,Nova Exchange,Aether Market,Starfall Mart
1950,993.87,1005.71,905.28,958.94,909.42
1951,1049.43,1265.95,1015.75,1072.57,1172.54
1952,1034.5,1161.17,1002.04,1037.84,1226.04
1953,1079.77,886.79,1125.88,1092.04,1252.67
1954,1000,755.83,978.32,1142.71,1281.07
1955,1062.31,977.17,1104.2,1211.08,1363.7
1956,1000,1247.41,1234.03,1212.83,1495.24
1957,1000,1129.32,1411.42,1118.98,1680.37
1958,987.03,873.8,1186.08,1211.06,1901.72
1959,1023.32,709.9,1272.59,1281.02,1732.76
1960,895.92,1036.55,1334.6,1331.63,2227.62
1961,1000,1290.58,1321.4,1257.67,1755.47
1962,413.89,1140.79,1318.14,1501.11,2002.38
1963,1000,793.32,1398.64,1275.55,2024.9
1964,1000,792.89,1442.44,1439.45,2109.55
1965,1000,1010.57,1376.9,1406.16,2298.69
1966,1060.05,1158.44,1495.37,1592.24,2194.61
1967,1000,1090.74,1477.71,1643.56,2374.98
1968,727.61,862.24,1607.23,1530.51,2439.9
1969,1000,723.88,1549.09,1588.77,2621.02
1970,1000,948.55,1561.18,1617.44,2557.43
1971,1000,1187.33,1883.2,1732.19,2724.93
1972,228.19,1191.77,1691.27,1694.77,2843.79
1973,1000,899.29,1766.6,1492.93,2845.74
1974,1000,759.31,1656.86,1907.65,3012.48
