Healthcare and Health,Patient Satisfaction,%
trend,volatile_rising,stable_rising,exponential_rising
Year,Emergency Room Patients,Acute Care Patients,Outpatient Visitors
1990,81.84,94.26,91.41
1991,100,100,96.8
1992,100,100,100
1993,100,100,100
1994,100,100,100
1995,100,100,100
1996,100,100,100
1997,100,100,100
1998,100,100,100
1999,100,100,100
2000,100,100,100
2001,100,100,100
2002,100,100,100
2003,100,100,100
2004,100,100,100
2005,100,100,100
2006,100,100,100
2007,100,100,100
2008,100,100,100
2009,100,100,100
2010,100,100,100
