Healthcare and Health,Patient Visits,visits/month
trend,volatile_rising,random_on_off_stable,exponential_rising,random_on_off_rising,exponential_rising
Year,Lumina Clinic,Stellar Care Facility,Meridian Health Post,Serenity Wellness Hub,Aegis Medical Center
2000,1069259.83,956287.5,988766.65,1194858.96,1138625.42
2001,1206000.89,1000000.0,1000181.43,1094880.59,1172942.56
2002,1240532.42,13130.34,1222459.85,1083838.07,1219901.28
2003,1030827.98,1000000.0,1409974.47,1086111.24,1362080.92
2004,1397645.82,1000000.0,1444051.16,1045830.02,1542397.21
2005,1433572.17,1000000.0,1748531.7,436144.0,1510742.52
2006,1492929.33,719432.72,1826479.36,284036.39,1841290.19
2007,1626521.55,1000000.0,1960972.83,1040102.43,1976723.62
2008,1528350.25,1000000.0,2195622.78,1189539.69,2049433.35
2009,1747659.13,1000000.0,2384123.23,1382128.38,2430911.17
2010,1753887.57,1000000.0,2542510.63,1379353.48,2625813.74
2011,1901823.92,643807.71,2818315.29,745215.15,2958793.54
2012,1809420.13,1000000.0,3046034.01,66168.48,3103505.14
2013,2027238.48,1000000.0,3471309.38,1147243.2,3469875.91
