Agriculture and Food Production,Organic Farming Area,hectares
trend,exponential_falling,stable_falling,random_on_off_stable,random_on_off_stable,stable_falling
Year,Whispering Willows Estate,Golden Harvest Cooperative,Ironwood Ranch,Sunstone Farms,Riverbend Plantation
1961,1072.07,970.55,1081.66,918.42,999.65
1962,1006.53,1340.3,1155.62,1147.22,1055.73
1963,1103.29,950.85,911.85,1000,999.44
1964,451.67,1301.56,1000,63.04,1324.35
1965,710.99,1284.43,987.24,1000,1599.7
1966,434.41,1218.15,1000,1000,995.06
1967,402.7,1372.55,1000,1000,1167.12
1968,481.46,1168.01,1000,1000,1183.76
1969,612.99,1012.5,785.07,663.55,1416.06
1970,448.39,1252.04,1000,1000,1344.03
1971,544.51,1494.2,1000,1000,1354.87
1972,269.67,1555.33,1000,1000,1397.3
1973,280.18,1277.74,1000,1000,1276.19
1974,255.42,1511.64,1000,10.99,1285.29
1975,270.48,1447.51,418.68,1000,1528.54
1976,336.82,1310.24,1000,1000,1513.82
1977,262.38,1751.67,1000,1000,1083.51
1978,422.73,1613.77,972.3,1000,1698.79
1979,125.76,1643.08,1000,806.92,1656.52
1980,137.99,1551.34,159.24,1000,1550.76
1981,249.94,1723.53,1000,1000,1543.37
1982,78.85,1655.66,1000,1000,1444.41
1983,62.84,1674.58,1000,1000,1763.76
1984,115.6,1688.86,1000,950.7,1789.23
1985,167.77,1916.45,622.14,1000,1757.44
1986,304.02,1723.07,1000,1000,1701.51
1987,10.0,1318.85,1000,1000,2074.88
1988,201.41,1964.92,1000,1000,1745.25
1989,10.0,2022.0,491.21,1000,1876.03
1990,10.0,1649.67,1000,914.21,1968.52
