Business and Finance,Operating Expenses,$
trend,periodic_stable,stable_rising,volatile_rising
Year,Apex Systems,NovaTech Solutions,Aegis Corp
1993,5234528.2,5458202.67,4280010.29
1994,6052134.31,4891239.13,5806386.87
1995,5714234.17,5695968.77,5573265.18
1996,4651571.08,6097234.25,6464116.49
1997,3742909.13,6111730.18,7287834.76
1998,4869471.98,6232191.26,8150152.66
1999,6476416.56,5461843.53,6876742.74
2000,5802875.15,6920080.67,8081522.62
2001,4166172.5,7626003.76,8084460.66
2002,3695814.14,8034641.49,9038653.3
2003,4924519.57,7583649.93,9249590.1
2004,5984672.87,7510246.71,7623332.71
2005,5703403.75,7965660.68,9898570.25
2006,4623965.06,8325244.59,10601275.29
2007,4146821.84,7883360.22,10487905.32
2008,4905184.32,8215765.32,10172639.04
2009,6100090.66,8928858.77,11313525.49
2010,5732655.05,8981225.07,11197167.02
2011,4339038.62,9909969.54,12430146.42
2012,3790478.51,10282432.61,12951890.51
2013,5026844.58,9806779.87,12914035.51
2014,6232623.58,9592490.09,13417660.24
2015,5801568.11,10478262.8,13400409.28
2016,4123601.29,10239468.79,13896954.02
2017,3868850.89,11058170.51,14324261.89
2018,4908097.24,10801275.12,14436559.32
