Agriculture and Food Production,Livestock Production,tons
trend,volatile_falling,volatile_rising,stable_falling,stable_rising
Year,Misty Meadow Acres,Riverbend Plantation,Whispering Willows Estate,Ironwood Ranch
2004,64986.03,41508.82,50221.78,51765.06
2005,42477.16,54107.72,50122.34,52936.21
2006,45554.88,52710.98,52935.58,55627.01
2007,42833.72,63975.28,51332.92,56087.42
2008,35842.02,68839.27,52998.32,62166.68
2009,41037.76,73066.04,55841.37,60502.25
2010,39108.69,72414.2,56902.94,68648.07
2011,48139.76,80269.06,62340.13,68240.55
2012,33445.33,85437.48,58261.32,67563.19
2013,25132.9,83342.01,64299.53,73512.12
2014,24887.64,92051.78,67149.48,75815.55
2015,6547.05,95235.11,68955.54,74374.34
2016,8803.78,95534.32,70389.22,81003.64
2017,7921.18,116823.56,69403.5,83537.46
2018,14603.49,99781.26,67949.3,84878.9
