Human Resources and Employee Management,Training Hours,hours/employee
trend,volatile_falling,stable_rising,exponential_rising,exponential_falling,periodic_stable,periodic_stable,exponential_rising
Year,Sales Team,Human Resources,Administrative Support,Management Team,Operations Staff,Engineering Department,Research & Development
2002,19.49,21.64,17.97,18.49,20.79,20.0,21.21
2003,16.73,21.19,17.25,20.55,23.81,23.79,22.67
2004,19.25,21.69,24.15,16.39,22.36,22.94,25.71
2005,24.73,24.41,26.1,17.18,18.0,16.58,26.82
2006,11.51,25.09,29.05,14.29,14.35,14.57,28.85
2007,7.51,25.4,29.04,11.23,19.73,20.22,31.34
2008,12.4,26.79,35.39,10.09,25.09,24.63,35.74
2009,13.26,26.6,42.05,9.49,22.02,23.01,42.25
2010,10.88,26.51,42.03,7.28,17.56,17.1,43.54
2011,13.42,28.0,46.26,7.76,14.92,14.97,45.42
2012,12.11,29.47,51.81,3.32,20.95,19.96,50.31
2013,7.92,29.38,58.37,5.98,24.28,25.45,55.32
2014,3.37,32.32,59.58,4.96,22.81,23.03,60.97
2015,6.35,31.75,70.71,4.73,16.4,17.56,67.55
2016,3.88,32.5,74.24,2.56,15.35,14.25,77.37
2017,3.53,34.27,83.74,4.39,19.17,19.75,81.97
2018,0.2,34.7,91.51,4.95,24.68,24.47,90.67
2019,0.2,33.68,103.31,4.19,22.29,22.22,101.81
2020,0.28,38.26,110.65,3.5,18.04,16.87,112.73
2021,0.2,39.42,123.76,3.22,14.82,15.0,123.61
