Tourism and Hospitality,Average Room Price,$
trend,exponential_falling,exponential_falling,exponential_falling,volatile_rising,random_on_off_stable,random_on_off_rising
Year,Ski Lodges,Glamping Sites,Beachfront Villas,Cruise Ships,City Center Hotels,Desert Camps
1952,208.04,179.86,189.59,197.08,216.56,189.9
1953,182.39,177.12,205.86,267.63,200,205.38
1954,151.26,160.0,115.12,270.71,188.84,70.01
1955,121.79,184.39,159.99,261.97,200,77.34
1956,151.8,141.64,133.81,241.01,200,188.75
1957,168.61,122.64,113.06,331.58,200,281.83
1958,120.67,74.04,143.39,293.35,200,261.24
1959,98.65,112.89,74.23,303.58,200,151.89
1960,72.48,81.41,91.26,277.05,147.01,2.0
1961,75.21,79.43,76.44,362.78,200,182.65
1962,81.09,59.24,44.26,334.57,200,298.17
1963,49.39,73.5,33.01,383.9,200,283.56
1964,83.23,43.47,43.35,424.32,184.13,283.91
1965,63.57,20.71,43.36,439.49,175.18,55.99
1966,23.09,22.92,56.72,438.03,224.21,2.0
1967,50.67,63.28,2.0,459.5,168.61,44.66
1968,50.2,62.57,34.6,477.94,201.1,252.19
