Cultural Trends and Influences,Theater Attendance,tickets
Year,Silverhaven Playwrights,The Ivory Stage,Stellar Performance Troupe,Azure Curtain Players,Meridian Drama Circle,Zenith Repertory,Aethelgard Thespians
trend,periodic_stable,volatile_rising,periodic_stable,exponential_falling,volatile_rising,periodic_stable,volatile_rising
1971,395361.77,518610.52,439860.64,413875.35,295562.48,385534.6,497596.63
1972,490660.2,471528.45,486473.42,410295.78,502765.85,519201.38,488127.88
1973,445143.04,536115.62,476123.77,366024.57,632424.66,445639.1,503527.82
1974,344873.92,448429.33,344437.32,326280.23,379114.85,350653.56,676502.85
1975,309760.74,601837.55,310116.93,217669.59,651677.46,293306.3,685117.99
1976,412257.12,417489.89,395399.16,180068.7,569960.88,385600.59,496366.68
1977,519548.91,559171.55,484531.14,265558.05,726928.01,487465.12,586718.88
1978,434327.3,748832.6,464367.64,207450.74,633903.22,481242.24,397583.71
1979,328009.13,811796.54,351858.35,185857.5,497984.67,344332.12,619399.24
1980,306697.24,790381.2,292127.81,136266.01,603719.34,300468.77,799973.37
1981,426655.64,757143.11,372531.51,132964.64,622749.36,400075.95,685852.14
1982,496244.51,713561.35,466506.53,150349.06,738580.67,496654.84,639935.0
1983,415806.93,753647.53,479160.98,99877.73,721633.9,452866.17,936223.9
1984,374829.16,798101.96,342392.96,99584.31,760511.66,356354.95,763608.2
1985,293340.32,821047.56,312072.93,189571.36,1034531.8,332798.1,763043.04
1986,367379.8,853247.14,360583.72,26233.2,750439.13,406505.84,895123.01
1987,513172.08,676944.47,505903.73,172480.36,778368.19,504288.84,925633.08
1988,469586.67,1213831.24,462398.16,94993.87,947447.9,441245.24,833543.52
1989,357602.51,933766.7,307177.89,4710.3,1278042.4,302793.84,1064438.72
1990,314560.08,1074906.85,318346.93,45259.64,1017454.89,308423.09,1205749.5
1991,413807.45,851083.52,432247.09,17472.07,918870.52,412362.87,1051437.55
1992,501147.66,992596.81,498809.6,76486.75,1095551.38,475010.14,947130.26
1993,471411.48,1187584.16,457723.22,43320.62,1152583.14,466581.06,1031075.82
1994,389571.73,970670.13,340904.95,56940.41,1138456.87,325331.89,1302112.17
1995,255381.97,1249646.4,316016.93,75175.97,1005231.74,294373.74,1145019.31
1996,378214.75,1194430.17,415402.71,42416.8,1211715.48,393885.66,1070905.72
1997,466006.79,1332414.74,506463.11,4000.0,1291461.2,516041.45,1250218.82
1998,472559.55,1150340.14,466117.78,12391.66,1431544.3,485466.58,1337171.73
