Retail and E-commerce,Online Sales Volume,$
trend,stable_falling,random_on_off_stable,periodic_stable,periodic_stable,stable_falling,random_on_off_stable,exponential_falling
Year,Subscription Members,Budget Shoppers,Luxury Consumers,Rural Buyers,Millennials,International Customers,Urban Shoppers
1957,5726869.85,5168180.34,4307230.91,5622235.21,4399030.77,4387962.41,5859722.32
1958,4411818.72,4192808.06,6689850.92,5819063.53,5055603.96,4794814.46,4508094.83
1959,5147839.92,5000000.0,5398577.51,6422612.67,6310079.16,4193653.07,4840809.21
1960,5334971.48,3927623.81,4436172.91,3726711.71,6650341.51,5000000.0,3916059.45
1961,4276398.73,5000000.0,3748491.06,6100619.22,3467172.67,50000.0,1578172.27
1962,5359865.26,5000000.0,5307297.26,5568681.93,6046675.38,5000000.0,1703515.95
1963,5817751.02,5000000.0,5588193.48,6046491.3,6914488.01,5000000.0,3430419.82
1964,7675409.7,5000000.0,5986646.14,6647266.81,6459365.54,4790443.29,3047508.34
1965,6234347.12,5000000.0,6170981.62,4501776.72,7149753.13,5000000.0,342347.36
1966,4727639.65,3361596.1,4275631.67,3190922.3,6470229.52,5191022.81,3197811.12
1967,6823095.57,5000000.0,6059056.17,4724204.68,7328890.52,5000000.0,4629335.22
1968,5331150.7,5000000.0,6564064.31,6273461.34,7444546.68,5000000.0,1659309.01
1969,6623930.57,5000000.0,6238823.78,5240996.64,8050986.81,4617403.18,182768.92
1970,7940617.56,4352062.87,4232249.64,4294465.42,7217956.23,4224684.51,1816466.3
1971,4934911.93,6453987.22,4622508.49,3302997.53,5739887.36,5755034.01,1784443.38
1972,8172444.25,5000000.0,4861403.86,5896722.14,7158638.18,5000000.0,1449136.0
1973,7062839.56,4492284.69,5955678.27,7110778.58,8648293.67,5938902.39,1991604.69
1974,8594932.16,5000000.0,5572599.08,4891928.96,8366042.36,5000000.0,1747937.28
1975,6265133.33,5000000.0,4625473.66,4472478.26,7014530.19,5000000.0,50000.0
1976,6751578.59,5000000.0,5160015.72,2687267.14,9311899.72,5000000.0,438411.23
