Retail and E-commerce,Return Rate,%
trend,volatile_rising,random_on_off_rising,exponential_rising,exponential_rising,exponential_falling,stable_rising
Year,Beauty Products,Seasonal Goods,Flash Sale Platforms,Direct-to-Consumer,Clothing Merchants,Furniture Sellers
1986,10.35,11.28,8.6,9.86,11.8,12.41
1987,14.04,11.37,14.16,9.03,8.26,9.99
1988,6.87,8.89,13.32,12.9,10.45,10.22
1989,9.15,10.74,12.88,12.96,8.19,9.94
1990,13.02,3.09,13.87,14.34,7.78,13.05
1991,15.96,0.1,14.63,16.3,7.23,11.61
1992,17.68,0.1,20.14,19.0,9.91,14.76
1993,16.91,4.13,17.77,19.37,6.04,12.66
1994,8.23,12.63,25.26,20.56,5.59,12.27
1995,17.05,12.94,23.15,24.72,0.75,13.86
1996,18.03,12.64,25.81,30.36,3.78,14.2
1997,16.51,3.16,26.09,30.92,5.65,13.04
1998,21.32,8.36,32.66,33.76,1.91,18.03
1999,20.44,15.22,36.73,33.72,6.38,18.39
2000,19.13,18.83,39.5,40.61,2.26,12.58
2001,26.58,16.87,39.76,41.36,2.42,17.08
2002,22.25,14.44,47.88,44.33,3.94,20.3
2003,19.73,17.1,53.78,48.09,0.1,19.94
