Tourism and Hospitality,Tourist Attraction Visits,visitors
trend,exponential_falling,random_on_off_rising
Year,Mountain Peaks Park,Crystal Caves
1979,58738.32,46391.91
1980,34143.59,36447.44
1981,31455.43,54040.54
1982,20565.36,50337.18
1983,54632.33,65249.12
1984,15734.72,52023.61
1985,12261.11,500.0
1986,29140.33,500.0
1987,24824.29,40439.75
1988,14444.96,52919.15
1989,5803.52,64383.31
1990,12727.04,22079.0
1991,500.0,500.0
1992,24254.17,500.0
1993,6730.44,18652.22
1994,13261.14,60045.6
1995,9353.52,83733.16
1996,12693.24,90639.13
1997,500.0,58559.71
1998,8539.12,500.0
1999,1151.2,19869.72
2000,17193.05,80546.95
2001,500.0,95945.01
