Science and Engineering,Patent Applications,applications
trend,volatile_rising,volatile_rising,exponential_falling,exponential_falling
Year,Oracle Systems,Aether Corp,Starburst Enterprises,Echo Dynamics
1996,3626.1,5980.63,5770.09,5130.78
1997,5339.54,6045.4,4905.1,5000.64
1998,8132.21,6212.34,4136.7,3687.27
1999,5589.56,4915.36,3215.35,3993.12
2000,6603.66,7488.4,3240.52,3325.8
2001,6172.2,6803.54,3431.25,3380.06
2002,7070.04,9253.92,2682.76,3766.8
2003,8418.82,7906.66,1579.79,2391.75
2004,7227.87,8396.83,2120.52,1823.99
2005,7910.21,7487.82,2807.63,3063.36
2006,8389.68,7861.77,2766.13,1626.12
2007,8226.86,8858.76,1475.66,300.66
2008,10387.64,10375.78,171.75,1390.62
2009,11566.61,10763.64,1249.08,1444.33
2010,9329.99,10546.21,1737.2,391.69
2011,11730.82,9961.16,466.76,1817.23
2012,11194.73,10717.22,377.03,425.69
2013,13065.75,13456.9,1294.92,1862.11
2014,12979.58,12786.44,937.45,1051.84
2015,12002.91,10290.11,50.0,50.0
2016,13321.4,13148.51,921.46,1030.75
