Science and Engineering,R&D Investment,$
trend,stable_rising,exponential_falling
Year,Starburst Enterprises,Aether Corp
1961,10226409.23,10234672.9
1962,10317283.11,9388171.17
1963,11216350.12,8563389.71
1964,11875085.8,10494433.32
1965,12983504.25,6955701.31
1966,12016766.58,5232990.95
1967,10558739.25,5790077.95
1968,13612372.45,2383802.83
1969,13469517.6,6053728.09
1970,14862578.61,3622113.3
1971,14247318.13,3892803.99
1972,17865394.93,2108829.61
1973,15507195.25,1902711.75
1974,16794872.73,1520478.52
1975,15315392.62,298257.13
1976,17183251.97,694192.07
1977,17890399.21,1423020.88
1978,19229313.66,100000.0
1979,19469572.95,4316706.32
1980,20269702.81,2337418.16
1981,19847476.76,100000.0
1982,20153582.63,555490.6
1983,24139148.36,100000.0
1984,20801555.23,1336728.37
1985,22501505.74,1456331.71
