Tourism and Hospitality,Luggage Loss Rate,%
trend,volatile_rising,exponential_rising,exponential_rising
Year,Ferry Services,International Terminals,Car Rentals
1970,1.26,1.47,1.48
1971,1.59,1.63,1.67
1972,1.85,1.79,1.83
1973,1.94,1.99,2.01
1974,2.01,2.18,2.2
1975,2.16,2.47,2.44
1976,2.15,2.67,2.67
1977,2.32,2.93,2.93
1978,2.4,3.24,3.22
1979,2.71,3.51,3.52
1980,2.75,3.84,3.91
1981,2.81,4.29,4.23
1982,2.94,4.65,4.67
1983,2.98,5.16,5.11
1984,3.27,5.65,5.68
1985,3.29,6.31,6.34
1986,3.3,6.89,6.91
1987,3.51,7.59,7.53
1988,3.68,8.28,8.31
1989,3.8,9.14,9.14
1990,3.71,10.12,10.08
1991,4.08,11.08,11.06
1992,4.17,12.27,12.21
