Tourism and Hospitality,Flight Bookings,bookings/month
trend,periodic_stable,stable_rising,volatile_falling,stable_rising,volatile_rising
Year,Last-Minute Deals,Global Wings,Business Class,EcoFly,Charter Flights
1955,142022.55,145262.66,135656.88,167855.32,127575.82
1956,165671.32,158643.39,103534.37,170874.41,144356.86
1957,184714.1,145267.35,143473.69,173997.23,209423.8
1958,116290.22,165750.92,122911.43,175761.81,197665.59
1959,99348.51,184486.8,67865.16,171942.3,160758.67
1960,151215.44,199263.83,121637.57,188233.61,214447.14
1961,160936.2,188841.21,90737.87,212600.0,261418.24
1962,200833.94,194361.2,118732.18,211719.06,216876.31
1963,162798.0,240326.84,87298.68,193147.58,241828.75
1964,139140.2,213792.72,37497.04,220606.27,249320.36
1965,160909.51,206190.43,86169.32,225571.24,288820.65
1966,174306.99,226526.73,73546.42,214575.56,263265.23
1967,183126.44,236589.6,4073.65,234513.07,258605.29
1968,136948.12,252113.3,17053.28,265411.73,356610.39
1969,136024.52,262195.28,45534.02,251430.48,320047.53
1970,152843.12,283388.43,1500.0,273537.18,316889.98
