Business and Finance,Debt to Equity Ratio,ratio
trend,periodic_stable,stable_falling,periodic_stable
Year,Vanguard Dynamics,Apex Systems,NovaTech Solutions
1960,0.49,0.51,0.52
1961,0.64,0.49,0.62
1962,0.57,0.48,0.58
1963,0.43,0.46,0.42
1964,0.4,0.45,0.38
1965,0.48,0.43,0.5
1966,0.62,0.42,0.62
1967,0.57,0.4,0.58
1968,0.42,0.39,0.43
1969,0.37,0.36,0.37
1970,0.5,0.34,0.5
1971,0.62,0.33,0.62
1972,0.57,0.34,0.58
1973,0.44,0.31,0.43
1974,0.37,0.3,0.38
1975,0.5,0.27,0.5
1976,0.61,0.26,0.61
1977,0.58,0.25,0.56
1978,0.41,0.21,0.44
1979,0.39,0.22,0.39
