Food and Beverage Industry,Table Turnover Rate,tables/hour
trend,exponential_falling,volatile_rising,stable_falling,exponential_rising,periodic_stable,volatile_rising,volatile_rising
Year,Sky High Cafe,Crimson Plate,Stellar Bistro,The Golden Spoon,The Cozy Nook,The Rusty Kettle,Emerald Diner
1955,1.99,1.98,2.01,2.0,2.02,2.0,1.97
1956,1.76,2.13,1.94,2.18,2.48,2.13,2.12
1957,1.63,2.24,1.89,2.43,2.28,2.3,2.3
1958,1.46,2.4,1.84,2.66,1.72,2.5,2.44
1959,1.31,2.6,1.77,2.96,1.51,2.66,2.61
1960,1.19,2.82,1.7,3.2,1.96,2.8,2.9
1961,1.09,2.94,1.66,3.56,2.46,2.9,2.92
1962,0.97,3.1,1.6,3.88,2.3,3.16,3.06
1963,0.87,3.3,1.5,4.3,1.71,3.29,3.29
1964,0.77,3.44,1.46,4.73,1.5,3.45,3.41
1965,0.67,3.57,1.41,5.19,2.0,3.6,3.63
1966,0.62,3.78,1.33,5.68,2.51,3.77,3.79
1967,0.57,3.86,1.27,6.28,2.27,3.9,3.96
1968,0.5,4.03,1.24,6.91,1.7,4.12,4.08
1969,0.44,4.24,1.14,7.59,1.5,4.17,4.28
1970,0.46,4.38,1.13,8.32,2.01,4.43,4.41
1971,0.33,4.54,1.03,9.19,2.47,4.58,4.6
1972,0.29,4.68,0.97,10.1,2.28,4.72,4.74
1973,0.27,4.86,0.91,11.1,1.76,4.89,4.87
