Social Media and Digital Media and Streaming,Platform Traffic,visits/month
trend,exponential_rising,volatile_falling,stable_falling,exponential_rising
Year,Starburst Online,NovaStream,AetherNet,OracleFeed
2001,5870902334.92,5507087175.79,4941181437.11,4580036912.45
2002,4098491046.34,5118643145.19,4727569879.65,5773768115.23
2003,5787987737.44,5697506040.17,5183448998.1,5862254185.77
2004,6799339157.63,4124463635.14,4826863297.81,5657741133.42
2005,7588005929.9,3635020025.08,3904178362.7,7439930539.81
2006,7863801103.07,4245772499.48,5302490809.4,7680338901.29
2007,9128826552.21,2208235978.06,3136629885.11,9395787637.24
2008,10222636930.35,2711567127.23,4211164890.34,9328842503.25
2009,10641563502.09,2973311443.4,4090094683.8,11202562901.82
2010,12610794208.5,1514489274.77,3485742320.13,11929451749.79
2011,12424760859.99,1610178590.63,3421824009.97,13645532820.4
2012,14230482448.02,2087292875.87,2829106502.42,14508025242.74
2013,16042709929.0,1020409289.11,3346606231.15,15744198988.89
2014,16596802507.96,463501451.33,3257880880.73,17585055438.06
2015,18735243216.08,50000000.0,3409741565.42,19288204480.01
