Healthcare and Health,Average Treatment Cost,$
trend,exponential_falling,volatile_falling,exponential_rising,volatile_falling,periodic_stable
Year,Chronic Care Program,Preventative Screening,Pediatric Treatment,Rehabilitation Therapy,Specialist Surgery
1966,4927.72,4745.86,4976.99,4991.18,4825.67
1967,4489.79,4637.58,5446.39,4620.54,6081.76
1968,4002.9,4263.36,6117.99,3927.02,5612.41
1969,3557.07,3832.78,6435.97,4268.34,4430.55
1970,3249.35,3543.42,7127.81,3700.53,3673.26
1971,3082.04,3497.41,8305.08,3644.79,4921.22
1972,2640.15,3190.23,8596.09,3279.37,5963.42
1973,2087.35,2987.43,9728.15,2844.81,5743.95
1974,1970.3,2305.13,10801.89,2714.22,4284.62
1975,1942.15,2471.22,11863.02,2098.64,3881.08
1976,1846.41,1537.98,12874.27,2212.25,5095.27
1977,1368.28,1494.89,14268.91,2000.8,6287.71
1978,1656.5,1337.54,15612.35,1531.07,5692.86
1979,1241.32,928.04,17437.56,1429.58,4162.43
1980,1161.47,959.53,18912.47,836.37,3915.63
1981,838.22,645.96,20652.91,304.77,5076.4
1982,831.97,165.01,23218.7,493.0,5974.92
1983,774.28,100.79,25247.2,50.0,5613.75
1984,899.49,50.0,28068.05,50.0,4110.0
1985,696.07,50.0,30464.4,50.0,3839.84
1986,664.32,50.0,33781.58,50.0,4817.79
1987,619.86,50.0,37103.96,50.0,6260.44
1988,354.4,50.0,40839.22,50.0,5751.12
1989,438.86,50.0,44895.03,50.0,4333.65
