Transportation and Logistics,Vehicle Maintenance Cost,$/month
trend,volatile_falling,stable_falling
Year,Heavy Machinery,Diesel Fleets
1996,1431.46,1542.93
1997,1369.97,1410.5
1998,1227.52,1409.37
1999,1371.59,1282.45
2000,1069.5,1335.33
2001,1089.7,1194.46
2002,1094.58,1166.6
2003,1040.32,1163.18
2004,842.21,1107.14
2005,663.1,978.92
2006,654.49,1051.4
2007,409.1,966.79
2008,522.08,945.43
2009,420.71,917.26
2010,279.66,950.63
2011,90.38,856.32
2012,15.0,787.95
2013,15.0,741.38
2014,15.0,638.9
2015,15.0,838.96
2016,15.0,711.32
2017,15.0,625.98
2018,15.0,406.52
2019,15.0,386.32
2020,15.0,451.6
2021,15.0,258.72
2022,15.0,363.66
2023,15.0,109.4
