Agriculture and Food Production,Agricultural Exports,$
trend,stable_falling,exponential_falling,exponential_falling,exponential_falling
Year,Port of Aethelgard,Azure Port Authority,Stellar Commodities Group,Borealis Shipping Co.
2011,9747897.25,10177759.01,9892264.25,10435041.26
2012,9482896.76,9082773.78,8565139.56,8625500.08
2013,9903825.58,7841463.5,8156235.47,7965141.72
2014,8823333.18,6968709.22,7019662.0,7804019.21
2015,8395626.09,6819134.01,6827759.32,6132471.11
2016,8544829.91,5490063.75,6047595.8,5549452.28
2017,8626424.83,5087713.21,5166079.13,5322779.77
2018,8180802.92,4348860.89,5028318.4,4569838.13
2019,8145260.09,4643148.6,4556637.87,4030295.3
2020,7523529.74,4270597.87,3672484.8,3778279.47
2021,6845496.81,3078110.15,3455725.95,3435113.68
2022,6294331.41,3154298.89,2624001.64,3037549.32
2023,6215302.2,2739537.28,2790925.17,2368196.69
2024,6337976.41,2068540.61,2472749.0,2517383.11
