Cultural Trends and Influences,Cultural Event Funding,$
trend,periodic_stable,exponential_falling,exponential_falling,volatile_falling,volatile_falling,volatile_falling,stable_falling
Year,Zenith Cultural Endowment,Stellar Cultural Development Agency,Aethelgard Cultural Council,Azure Creative Trust,Silverhaven Arts Foundation,Borealis Artistic Grants,Meridian Heritage Fund
1962,54476148.88,46342420.9,49509876.36,50775485.08,41918417.2,55696194.05,48566309.01
1963,54012659.32,42937975.25,49337405.92,50745439.99,48373456.47,46209953.35,49973906.43
1964,58540208.96,36980120.81,43924237.24,47897664.08,52592910.99,39664395.2,50559182.47
1965,38874012.23,34921890.49,38829759.95,39858713.1,37862675.9,41648350.45,45887343.16
1966,36557038.87,36239785.25,33023703.98,38812239.71,39760971.35,36746711.53,43306302.87
1967,46216887.98,28739410.42,27677507.5,34674955.72,34005031.45,35452283.73,43183779.56
1968,61444780.23,29233510.74,26932236.58,28930463.5,32807078.97,29845846.79,42652735.85
1969,58746332.46,24563464.77,20191854.66,30363344.83,22870327.12,32297605.76,39415974.6
1970,42749470.7,19684132.95,18632460.36,20725038.03,23353907.01,28579844.69,40720204.56
1971,37582293.34,18852066.41,21478346.24,29754011.36,24601322.29,20017845.88,34267628.63
1972,49253029.51,13589556.65,17140416.14,24776641.81,20927282.53,19470141.67,34413016.74
1973,60414140.48,16889551.42,12901536.4,28579682.01,13171911.87,12868174.27,36316544.18
1974,61344746.0,12770030.78,11372890.68,4934050.97,18164283.0,16627318.27,29624701.64
1975,44008670.62,7317953.43,16521531.3,15178597.38,6549725.79,12899357.13,25708240.9
1976,38669252.84,11428711.3,13356367.06,6984465.63,2457161.09,5212729.07,34802413.59
