Science and Engineering,Patent Applications,applications
trend,stable_rising,exponential_falling,stable_falling
Year,Luminara Solutions,Starburst Enterprises,Oracle Systems
1965,4942.49,5053.48,5184.74
1966,5253.49,4547.89,4860.86
1967,5430.76,3722.51,4629.86
1968,5753.04,3157.65,4614.7
1969,6035.46,3226.13,4290.34
1970,6276.04,3189.75,4398.48
1971,6389.55,2886.06,4065.48
1972,6596.79,2609.87,3972.63
1973,6960.59,2155.92,3695.68
1974,7353.49,1991.4,3670.0
1975,7601.07,1257.72,3821.99
1976,8171.89,1727.91,3302.83
1977,8085.9,1621.45,3405.46
1978,8339.75,1105.51,3013.86
1979,8677.4,1221.97,2970.74
1980,8670.82,871.59,2545.25
1981,9215.99,885.45,2909.17
1982,9247.01,869.41,2790.23
1983,9618.61,748.22,1882.27
1984,9637.14,673.51,2399.6
