Science and Engineering,R&D Investment,$
trend,exponential_rising,stable_falling,periodic_stable,periodic_stable
Year,Luminara Solutions,Crimson Group,Starburst Enterprises,Echo Dynamics
1966,10433621.5,10172070.73,9613957.15,10292896.54
1967,10979196.57,10240497.37,12571126.28,12836715.76
1968,11415108.44,8683086.11,11092940.62,11526071.98
1969,13199949.92,8447256.95,7954721.41,8557402.76
1970,14161897.15,9023883.49,8115624.05,7835349.26
1971,16203747.1,7980776.87,9320589.37,9690513.36
1972,18138776.87,8240946.62,12820348.97,11925218.79
1973,19951014.84,7384458.84,10891747.21,11469530.8
1974,21620192.94,7015112.53,8626110.15,8410408.41
1975,23346519.5,7247102.01,8348834.43,7811907.01
1976,24897861.7,6263124.48,9567365.61,10260555.88
1977,28853892.6,7241728.7,11917356.38,12458267.6
