Retail and E-commerce,Inventory Turnover,times/year
trend,volatile_falling,volatile_rising,exponential_rising,volatile_falling,volatile_rising,exponential_rising
Year,Bulk Goods Centers,PrimeCart Warehouse,Metro Storage,Tech Distribution,Cold Chain Facilities,QuickDeliver Hubs
1975,6.4,5.9,5.75,6.6,5.08,5.82
1976,5.25,6.6,6.76,6.84,5.61,6.82
1977,4.57,6.68,7.17,4.51,6.73,7.04
1978,4.23,7.2,7.87,4.55,7.97,7.81
1979,4.76,7.75,8.61,3.63,7.46,9.0
1980,4.86,8.02,9.73,4.25,9.73,9.36
1981,4.1,8.5,10.95,4.02,8.02,10.77
1982,3.85,9.13,11.92,2.62,10.0,11.79
