Healthcare and Health,Healthcare Expenditure,$
trend,stable_falling,volatile_rising,exponential_rising,stable_rising,volatile_falling
Year,Azure Health Initiative,Meridian Healthcare Group (Public),Zenith Medical Foundation,Aethelgard Medical Board,Lumina Health Authority
1974,996232755.89,955170435.29,1011318234.82,999783490.59,932997845.75
1975,992303534.53,1020885168.42,1076298678.79,1059648327.75,840965086.36
1976,970906078.09,1129145744.98,1219036545.83,1070684851.82,769099360.73
1977,913709006.76,1242280124.4,1274906687.3,1137677154.1,796053845.59
1978,889137921.82,1313882754.16,1452628816.76,1174350838.35,787221084.98
1979,864560927.42,1385768439.71,1615394337.17,1278924019.63,618840629.6
1980,840985676.23,1593296773.06,1789213877.91,1317618759.14,560364707.27
1981,790128148.3,1583748280.6,1967381731.29,1379151906.53,572893840.28
1982,737068800.18,1620354147.7,2134397234.99,1400089647.75,569444294.95
1983,738149919.25,1766291630.35,2390721079.23,1447042180.68,510450070.18
1984,707724505.23,1808641031.5,2604231026.25,1527562113.7,429469170.2
1985,689534120.29,1824263001.17,2878335764.12,1528159478.15,328155561.67
1986,597963902.14,2031499351.69,3156726033.77,1615571618.79,310304509.16
1987,588983906.72,2131475548.59,3434022948.88,1671703232.38,146502913.94
1988,606143331.47,2087405165.27,3760878305.19,1682935885.91,143460465.8
