Science and Engineering,Publication Count,papers
trend,stable_rising,stable_rising,volatile_falling,volatile_falling,volatile_falling,volatile_rising
Year,Nova Institute,Crimson Foundation,Oracle Labs,Starburst College,Luminara Academy,Echo Research
1966,98.3,102.13,114.36,101.35,96.39,97.23
1967,103.14,108.37,79.0,88.71,98.85,121.24
1968,111.01,106.74,93.13,92.19,76.99,120.04
1969,111.07,110.27,76.68,87.32,94.82,121.74
1970,120.02,118.58,78.74,72.37,74.44,129.65
1971,124.68,128.36,63.91,78.18,67.23,133.08
1972,135.44,131.95,52.54,60.14,61.73,156.83
1973,138.1,130.92,65.82,52.47,50.59,163.14
1974,137.14,142.05,47.53,58.61,61.46,165.52
1975,141.39,147.44,41.41,45.7,41.7,171.47
1976,152.18,150.98,34.2,38.95,36.05,168.91
1977,161.48,150.71,39.37,28.63,31.1,189.44
1978,157.62,158.69,32.1,37.62,32.41,201.98
1979,167.38,159.83,17.21,22.19,21.83,209.58
1980,169.38,165.04,23.54,9.34,4.87,200.42
1981,174.63,178.4,2.37,13.55,10.13,215.61
1982,183.35,173.0,5.08,1.0,18.42,224.52
1983,181.1,188.05,2.59,1.0,6.72,248.01
1984,190.12,188.48,1.0,1.0,1.0,245.51
1985,191.76,192.65,1.0,1.0,1.0,256.78
1986,197.53,200.27,1.0,1.0,1.0,256.73
1987,206.48,203.98,1.0,1.0,1.0,268.11
1988,203.84,210.64,1.0,1.0,1.0,264.43
1989,215.76,217.25,1.0,1.0,1.0,277.61
1990,220.13,220.1,1.0,1.0,1.0,291.99
1991,224.16,224.26,1.0,1.0,1.0,316.19
1992,228.86,232.13,1.0,1.0,1.0,306.86
