Energy and Utilities,Carbon Emissions,tons
trend,volatile_falling,periodic_stable,stable_rising
Year,TerraGen Power,Zephyr Waste Solutions,Solara Energy Corp
1992,5317248.98,4892948.95,5082704.81
1993,4467863.97,5959450.87,5337432.73
1994,4126105.13,5851381.51,5329711.22
1995,4061388.25,4269326.93,5822128.91
1996,3886899.93,3833070.77,6097084.2
1997,3638061.11,4989650.87,6245647.51
1998,2752797.15,6122714.8,6559210.66
1999,2884201.53,5711466.87,6921721.33
2000,2206125.83,4248874.28,6728107.33
2001,2837493.35,3659940.8,7041249.41
2002,1448825.38,4955465.78,7529447.21
2003,2061240.72,6396250.7,7710377.18
2004,1119021.54,5641194.68,7939544.73
2005,1102644.89,4322975.5,8551070.35
