Tourism and Hospitality,Hotel Occupancy Rate,%
trend,exponential_falling,exponential_falling,exponential_rising
Year,Boutique Inns,Budget Motels,Eco Lodges
1994,73.52,73.85,78.96
1995,69.81,66.13,72.54
1996,53.49,58.6,94.97
1997,53.72,55.37,100
1998,49.02,52.54,100
1999,41.69,49.23,100
2000,41.43,37.93,100
2001,32.65,34.8,100
2002,34.15,33.2,100
2003,22.31,24.12,100
2004,27.7,24.59,100
2005,28.71,23.28,100
2006,21.98,20.12,100
2007,18.92,21.64,100
2008,19.02,18.16,100
2009,16.25,15.52,100
2010,17.87,17.2,100
2011,11.8,15.66,100
2012,8.67,12.8,100
2013,10.76,8.35,100
2014,15.35,4.93,100
2015,4.07,10.44,100
2016,10.95,7.59,100
2017,12.38,6.65,100
2018,6.55,1.17,100
