Social Media and Digital Media and Streaming,Platform Traffic,visits/month
trend,stable_rising,volatile_falling,stable_rising
Year,AetherNet,NovaStream,CrimsonLink
2007,3987851461.72,5507954875.24,5758956436.61
2008,4998881308.5,4461179029.94,4838303044.24
2009,5893619003.99,5335676241.07,5254098553.74
2010,5410711850.47,4611441769.17,4978608325.74
2011,4582899966.37,4681166683.26,5956399968.03
2012,6146089431.46,2912275161.17,6351930162.99
2013,5601692205.72,4028165548.67,6399109779.0
2014,6668639096.21,3944009099.3,6305996777.65
