Education and Academics,Student Enrollment,students
trend,volatile_falling,exponential_rising,volatile_rising,exponential_rising,volatile_falling
Year,Celestial College,Zenith Institute of Technology,Aethelgard School of Arts,Arcane University,Meridian Academy
1965,10631.06,9899.15,10115.53,9938.48,10314.28
1966,9900.67,11085.81,10929.44,11034.86,9661.61
1967,8777.95,12306.05,11999.06,12189.83,9021.67
1968,8818.62,13239.51,12905.21,13313.79,8439.06
1969,7351.19,14798.46,13248.28,14627.66,6889.62
1970,6893.98,16254.66,13689.01,15840.08,6926.07
1971,5860.75,17767.46,14668.89,17899.84,6449.7
1972,5749.85,19542.22,15466.79,19319.24,5536.61
1973,5531.85,21448.7,16761.28,21440.89,5391.98
1974,4356.9,23367.51,17429.34,23453.98,4555.19
1975,4055.5,26199.89,18255.59,26027.83,4015.59
1976,3561.03,28478.83,19087.51,28512.23,2897.49
1977,3101.82,31299.61,19851.78,31489.73,3047.84
1978,2420.96,34677.35,19948.93,34470.45,2325.25
1979,1547.12,38082.19,20349.82,38118.12,1632.94
1980,1338.61,41742.77,21736.72,41926.21,900.67
1981,100.0,45825.86,23728.61,45561.1,367.4
1982,100.0,50414.01,23809.63,50387.02,100.0
1983,100.0,55565.43,24204.83,55537.06,100.0
1984,100.0,61168.66,25503.78,61265.7,100.0
1985,100.0,67362.6,26328.48,67136.24,100.0
