Retail and E-commerce,Delivery Time,days
trend,stable_falling,volatile_falling,exponential_falling
Year,Standard Shipping,Autonomous Vehicles,Rural Logistics
1988,2.5,2.55,2.5
1989,2.42,2.4,2.29
1990,2.28,2.26,2.02
1991,2.26,1.91,1.85
1992,2.35,1.89,1.69
1993,2.13,1.76,1.52
1994,1.96,1.64,1.44
1995,1.88,1.66,1.17
1996,1.93,1.34,0.95
1997,1.79,0.91,0.94
1998,1.69,0.95,0.88
1999,1.71,0.84,0.8
2000,1.58,0.66,0.65
2001,1.52,0.68,0.64
2002,1.37,0.56,0.53
2003,1.43,0.5,0.55
2004,1.22,0.08,0.55
2005,1.22,0.03,0.44
2006,1.09,0.03,0.54
2007,1.15,0.03,0.39
2008,1.08,0.03,0.29
2009,0.86,0.03,0.19
