Energy and Utilities,Natural Gas Prices,$/cubic meter
trend,stable_falling,volatile_rising,volatile_rising,exponential_rising
Year,SkyFlow Water Index,Zephyr Gas Index,Lumina Energy Market,AquaSource Trading
1951,2.03,1.9,1.96,2.01
1952,1.97,2.09,2.17,2.21
1953,1.92,2.23,2.27,2.44
1954,1.82,2.39,2.37,2.62
1955,1.78,2.62,2.59,2.92
1956,1.73,2.89,2.98,3.16
1957,1.64,2.91,2.97,3.56
1958,1.54,3.15,3.13,4.01
1959,1.56,3.36,3.32,4.26
1960,1.48,3.48,3.54,4.68
1961,1.31,3.67,3.7,5.17
1962,1.35,3.72,3.74,5.69
1963,1.27,4.05,3.84,6.28
1964,1.2,4.25,4.08,6.93
1965,1.13,4.19,4.29,7.58
1966,1.15,4.39,4.54,8.35
1967,1.05,4.52,4.62,9.21
1968,0.99,4.74,4.61,10.11
1969,0.88,4.88,4.95,11.11
1970,0.85,4.97,5.04,12.22
1971,0.78,5.28,5.2,13.46
1972,0.71,5.47,5.22,14.79
