Real Estate and Housing Market,Housing Affordability Index,index
trend,stable_falling,periodic_stable,volatile_falling
Year,Silverwood Forest,Shadowfen,Veridian Plains
1961,101.23,99.97,96.92
1962,94.09,123.74,97.08
1963,97.18,114.9,82.64
1964,91.79,84.45,85.0
1965,86.91,72.52,74.29
1966,84.42,99.75,73.53
1967,83.61,126.27,60.31
1968,84.54,114.48,54.72
1969,75.4,84.48,50.5
1970,75.64,74.16,44.44
1971,67.65,100.24,38.57
1972,69.47,125.52,30.93
1973,65.24,116.32,28.21
1974,60.73,84.18,24.0
1975,57.14,77.95,13.57
1976,52.99,99.38,10.85
1977,53.89,124.18,9.3
