Energy and Utilities,Energy Consumption per Capita,MWh/person
trend,periodic_stable,volatile_rising,exponential_falling,volatile_falling,exponential_rising,volatile_falling
Year,Silverhaven District,Meridian Territory,Azure Coast,Stellar Expanse,Borealis Township,Aethelgard City
1981,4.95,5.03,5.07,5.12,4.94,5.09
1982,6.16,5.37,4.48,4.73,5.43,4.8
1983,5.69,5.78,4.09,4.39,6.09,4.36
1984,4.24,6.22,3.64,4.03,6.72,4.0
1985,3.74,6.55,3.36,3.8,7.28,3.88
1986,4.93,6.96,2.94,3.54,8.02,3.51
1987,6.23,7.44,2.67,3.06,8.94,3.22
1988,5.75,7.61,2.28,2.87,9.75,3.01
1989,4.31,8.2,2.17,2.5,10.69,2.57
1990,3.88,8.6,1.94,2.25,11.81,2.1
