Sports and Entertainment,Stadium Attendance,tickets/session
trend,stable_rising,stable_falling,stable_rising,volatile_falling
Year,Aether Cup Finals,Nova Games,Crimson Clash,Starfall Championship
1957,49434.87,48916.23,50432.59,50972.15
1958,51606.57,45014.08,52562.41,48515.56
1959,56207.09,48981.76,54173.77,39333.97
1960,60693.68,46540.99,59629.41,39139.01
1961,60507.62,45814.85,61540.65,37171.35
1962,59673.92,40380.39,62877.17,36389.63
1963,65718.71,39920.0,63356.4,28249.21
1964,66583.56,38596.59,63935.22,27933.45
1965,66942.84,39349.58,70139.95,21883.5
1966,70654.85,36773.51,72011.67,24288.04
1967,74535.1,36307.47,78561.65,18989.68
1968,76424.9,33574.36,76457.38,20134.13
1969,80520.8,30924.35,78910.63,15618.6
1970,84617.27,31412.82,82829.63,10887.85
1971,83603.09,30244.04,84740.61,7622.32
1972,86800.9,27068.3,87830.78,8367.91
1973,91357.22,22853.29,87891.88,2733.94
1974,90888.53,25303.52,90732.31,2826.27
1975,91908.0,22896.28,92321.11,500.0
1976,94909.69,22661.97,99063.0,500.0
