Agriculture and Food Production,Fertilizer Price,$/ton
trend,stable_falling,periodic_stable,stable_falling,stable_rising
Year,Zephyr Cotton,AquaBeans,GeoNuts,Lumina Grain
1987,290.83,297.13,297.33,296.07
1988,276.47,372.7,301.3,323.55
1989,277.63,335.63,273.34,328.51
1990,275.87,258.48,276.63,347.28
1991,267.65,218.61,272.53,363.93
1992,247.73,307.07,243.61,368.32
1993,245.9,374.34,245.48,401.61
1994,243.36,338.43,228.56,403.24
1995,229.34,255.72,247.36,427.32
1996,228.22,218.82,220.63,439.16
1997,198.92,304.68,218.84,447.31
1998,207.89,374.12,212.31,467.31
1999,194.57,351.7,190.42,481.7
2000,174.38,261.52,180.44,489.97
2001,172.83,227.38,173.5,516.92
2002,172.71,291.83,164.61,524.2
2003,150.21,360.19,164.37,550.53
2004,154.37,329.37,141.11,562.46
2005,136.47,257.53,143.36,557.15
