Sports and Entertainment,Social Media Followers,followers
trend,exponential_falling,stable_rising,volatile_falling,periodic_stable,volatile_falling,periodic_stable,periodic_stable
Year,@StarburstTV,@LuminaraPlay,@CrimsonCometsOfficial,@IronwoodInvincibles,@ApexAthletics,@NovaGamesLive,@AetherNetSports
2002,10099080.07,10243164.6,10191454.68,10287624.03,10508782.83,9853812.46,9375027.22
2003,9669466.93,10927576.82,8586199.64,11960925.08,9601240.88,12265675.48,11851748.05
2004,8390274.66,10998884.61,7805654.85,12346533.4,8507399.26,10874073.14,11203145.57
2005,7135597.7,11398654.41,7496822.88,9154085.48,6758923.87,8362287.55,7635818.34
2006,6197782.51,12855826.86,6481423.83,7947619.62,7750272.09,7225574.24,8503996.16
2007,7051724.92,12577738.73,8397240.43,10322563.51,7319232.48,10225148.42,9438500.14
2008,5555171.52,11987521.49,6619216.34,11482735.96,7970825.41,12966112.7,12336932.2
2009,4850339.05,14317676.97,6145809.64,11419289.6,5124058.86,12190699.94,11394275.18
2010,4099114.02,14334415.33,7162620.42,8377143.01,4964676.82,8558435.77,8863464.28
2011,4474094.94,14905803.77,3392214.84,8082779.3,3126850.08,9025928.87,7005436.13
2012,2948811.85,15657714.33,4018438.0,9466573.94,2495183.17,10076370.04,9331940.79
2013,3777585.66,15177577.18,4655175.2,12484138.8,2470673.27,12395050.41,12667869.02
2014,3096475.86,16523674.35,2640486.53,12030317.22,1804890.61,11431261.28,11809976.9
2015,2637965.4,16167695.56,3001860.98,8551062.55,1390992.74,7210773.82,9015196.44
2016,1044479.58,17337023.49,2015557.27,7881253.32,3692886.03,7856208.38,6867078.55
2017,2057483.74,18818806.43,2484167.73,10717744.03,100000.0,9633170.05,10276920.69
2018,2211473.8,17960749.28,100000.0,12447606.61,2197489.9,12103759.3,12085716.92
