Retail and E-commerce,Loyalty Program Growth,users
trend,volatile_falling,periodic_stable,volatile_falling,periodic_stable,periodic_stable
Year,Corporate Partnerships,Flash Sale Subscribers,Student Discounts,Gift Card Users,Family Plans
1989,461484.67,497019.65,556008.59,546440.38,514306.66
1990,448467.64,585998.66,484298.67,591056.56,694356.53
1991,501774.34,566453.45,503440.9,627027.8,544008.49
1992,270989.35,376811.13,460123.25,459294.73,393352.5
1993,403658.61,413359.81,428724.65,427972.35,295410.29
1994,313747.89,476173.78,259445.85,480995.96,508060.98
1995,325736.74,594916.39,227099.31,599952.23,567316.59
1996,338513.18,535520.94,325324.94,580176.66,582723.42
1997,133092.09,418268.17,295076.51,473027.36,393757.89
1998,308052.91,340347.07,286480.13,396017.42,445172.74
1999,172047.31,591247.73,155029.34,527980.55,520871.94
2000,213618.6,635402.22,181039.22,621074.63,649905.67
2001,92130.91,560129.36,184490.71,591081.33,571456.51
2002,153305.37,406297.7,5000.0,421377.02,413491.26
2003,91121.78,346695.86,135318.43,375634.79,406504.5
2004,188448.31,523661.8,134503.87,499198.6,489353.22
2005,5000.0,586618.29,8860.03,611485.73,642805.65
2006,5000.0,582255.59,71300.99,621682.97,536155.46
2007,5000.0,492137.86,25681.45,372427.78,471826.6
2008,5000.0,332997.18,5000.0,408416.65,367082.8
2009,5000.0,485251.46,5000.0,505723.58,506371.31
2010,5000.0,598493.28,5000.0,625906.25,621825.51
