Agriculture and Food Production,Crop Yield,tons/hectare
trend,periodic_stable,stable_rising,periodic_stable,volatile_falling,volatile_falling,volatile_falling
Year,Starfall Organics,Sunstone Farms,Whispering Willows Estate,Riverbend Plantation,Golden Harvest Cooperative,Misty Meadow Acres
1963,97492.07,99564.58,102524.08,99568.96,104407.06,94443.2
1964,122564.94,103092.5,123746.49,91279.11,83644.86,95215.34
1965,114605.49,107195.93,116719.89,86868.72,90674.36,88594.89
1966,83460.64,113201.45,84511.21,83077.52,81884.0,85376.52
1967,75662.61,120168.07,76367.56,75983.22,72911.2,76334.71
1968,99495.91,125909.99,101503.59,65520.85,75951.12,69693.71
1969,121722.44,127869.97,122413.45,62235.03,59820.98,58363.62
1970,114342.05,131860.99,113959.74,66240.6,54614.95,55456.66
