Education and Academics,Faculty Satisfaction,%
trend,periodic_stable,periodic_stable,stable_falling,stable_rising,exponential_rising,stable_rising
Year,Celestial College,Silverhaven Polytechnic,Arcane University,Zenith Institute of Technology,Aethelgard School of Arts,Borealis Graduate School
1953,74.8,74.95,73.68,75.33,75.6,74.99
1954,93.64,94.55,73.42,78.8,81.94,79.27
1955,85.19,88.94,70.27,83.66,90.38,82.55
1956,63.31,63.83,68.08,87.46,100,86.24
1957,57.94,56.44,64.93,91.04,100,91.31
1958,75.69,73.85,63.96,94.13,100,93.04
1959,92.36,91.92,61.1,99.57,100,98.07
1960,86.08,86.65,59.69,100,100,100
1961,65.85,63.96,56.1,100,100,100
1962,56.74,59.32,55.98,100,100,100
1963,75.86,75.43,51.61,100,100,100
1964,93.52,92.37,51.11,100,100,100
1965,85.51,86.25,47.53,100,100,100
1966,65.02,63.71,46.88,100,100,100
1967,56.81,57.48,42.96,100,100,100
1968,75.25,75.95,40.62,100,100,100
1969,93.45,92.03,38.72,100,100,100
1970,87.77,84.82,35.37,100,100,100
1971,62.09,63.18,34.45,100,100,100
1972,57.45,55.82,32.42,100,100,100
1973,76.45,73.33,30.69,100,100,100
1974,92.71,92.72,28.03,100,100,100
1975,85.9,85.75,24.41,100,100,100
1976,63.75,62.83,22.89,100,100,100
