Agriculture and Food Production,Livestock Production,tons
trend,stable_falling,exponential_rising,exponential_rising,stable_falling
Year,Ironwood Ranch,Whispering Willows Estate,Misty Meadow Acres,Golden Harvest Cooperative
1953,48774.99,49552.12,50151.83,50189.3
1954,47972.31,55488.66,55059.4,47563.13
1955,46073.48,60195.19,60709.54,47501.33
1956,45964.41,66931.1,67007.41,44933.73
1957,46213.81,73300.23,73434.71,43292.17
1958,43544.87,80447.89,80253.78,41724.53
1959,39246.67,88769.5,88090.64,40441.56
1960,38740.5,98075.84,97032.33,39199.26
1961,39145.1,109134.99,107605.75,39280.96
1962,36738.99,118394.58,117867.9,36136.37
1963,35029.63,130706.86,129965.84,35339.22
1964,32989.17,142061.81,141958.47,31948.18
1965,32028.53,156500.0,158842.52,33678.9
1966,29328.36,171856.43,173654.35,29660.89
1967,28190.51,190266.09,190406.1,30789.32
1968,25992.97,208536.3,209240.02,27817.94
1969,26345.61,230074.28,229095.99,25737.41
1970,24493.07,253392.95,253152.7,24966.51
1971,24160.65,277559.48,276671.15,22516.1
1972,22476.12,306734.99,305779.91,20810.37
1973,19462.27,335499.45,336722.52,17775.11
1974,18675.31,369848.42,370050.35,17890.45
1975,18282.4,408242.4,407371.39,17298.81
1976,15095.58,448093.93,446766.02,15860.43
1977,14266.3,492585.29,492514.28,15179.12
