Agriculture and Food Production,Crop Yield,tons/hectare
trend,stable_rising,exponential_falling,exponential_rising,volatile_falling,exponential_rising,volatile_rising,volatile_rising
Year,Misty Meadow Acres,Sunstone Farms,Ironwood Ranch,Starfall Organics,Riverbend Plantation,Golden Harvest Cooperative,Whispering Willows Estate
1985,96979.49,99482.67,98856.28,103995.8,98647.0,100469.55,97483.44
1986,104791.66,91833.35,110453.99,90633.12,110770.13,105231.54,118888.38
1987,111009.0,81769.04,118875.72,85472.87,119888.69,111346.16,115772.65
1988,114006.04,76932.57,135305.53,77532.56,132297.87,120643.19,129317.15
1989,121279.22,65756.65,149298.02,74831.23,143242.7,129264.77,130853.56
1990,128088.62,61148.18,160415.65,67577.57,165021.51,145621.58,138050.56
1991,130834.42,55163.09,178937.47,64492.87,177719.18,154213.17,148330.08
1992,133520.79,46480.12,197584.34,59645.02,193918.4,154396.81,150971.97
1993,141019.5,44780.41,214956.15,58565.69,213572.01,164502.68,159940.76
1994,143100.03,40391.07,235647.2,44316.27,234736.43,175924.26,172415.76
1995,150533.46,35253.9,261679.27,42558.65,257679.37,181592.53,178497.43
1996,151420.76,30483.98,286854.71,34376.41,286381.9,186453.26,181173.48
1997,161262.31,25452.58,314177.9,33226.77,315484.45,191081.51,187013.2
1998,160959.34,21481.42,345332.84,21266.5,342898.89,202049.65,195401.72
1999,170093.55,24446.14,380359.73,12655.23,377676.83,207114.19,216542.09
2000,173063.82,19395.48,419500.18,5523.35,415255.13,218837.12,216574.17
2001,177951.97,21658.76,460221.46,1460.27,459137.71,224312.2,229191.84
2002,183201.45,20236.39,504321.47,1000.0,507223.82,230351.1,236649.53
