Science and Engineering,Research Grants Awarded,$
trend,volatile_falling,exponential_rising,stable_rising,volatile_falling,periodic_stable,stable_falling
Year,Aether University,Oracle Labs,Nova Institute,Starburst College,Crimson Foundation,Luminara Academy
1980,1710650.66,1959491.19,2069750.29,1740160.06,2012341.56,2127133.58
1981,1808688.49,2207433.52,2104444.59,2040246.27,2457325.9,1949399.3
1982,1722833.35,2413532.37,2142780.09,1793495.03,2273145.85,1837625.34
1983,1864493.04,2625588.57,2354788.38,1511301.73,1668188.79,1729344.72
1984,1580911.38,2781486.49,2392257.13,1493277.4,1587202.07,1936534.56
1985,1661610.15,3290778.75,2550729.41,1219685.09,2010557.67,1770902.92
1986,1286538.21,3563864.45,2604876.62,1162795.22,2611095.58,1571239.25
1987,1322844.86,3819972.33,2585123.78,1362010.39,2085609.7,1498190.41
1988,870560.66,4145718.44,3048287.97,1116908.81,1640149.59,1593439.38
1989,1235128.88,4768910.65,2867215.26,1033317.04,1358279.89,1525702.64
1990,889983.03,5333323.13,2863855.96,1016924.91,2063878.46,1401150.82
1991,507264.65,5795918.25,3068351.88,766211.36,2559030.24,1487725.73
1992,432894.44,6135396.86,3318794.34,707599.21,2346699.11,1357545.14
1993,222747.04,6946447.5,3295536.08,685650.75,1828939.56,1342643.08
1994,552023.95,7668159.19,3150768.76,285625.09,1323461.89,1113636.58
1995,493907.3,8398314.07,3481462.22,294190.05,2053213.57,949455.04
1996,41423.16,9110865.44,3699840.16,20000.0,2574769.25,881014.03
1997,86706.29,10156775.67,3684331.27,184574.04,2224916.54,1071984.69
1998,20000.0,11119543.53,3772497.32,20000.0,1699521.3,941436.68
1999,20000.0,12276870.2,3841025.21,20000.0,1621839.19,874988.41
2000,20000.0,13454750.27,3915254.94,20000.0,2159613.62,948327.14
2001,20000.0,14760772.41,4122924.39,20000.0,2362038.23,595863.8
2002,20000.0,16377428.21,4283340.1,20000.0,2419672.61,659089.6
2003,20000.0,17868192.7,4306784.89,20000.0,1536861.17,634646.36
