Science and Engineering,R&D Investment,$
trend,stable_falling,periodic_stable,periodic_stable,exponential_falling,stable_rising,exponential_falling,exponential_falling
Year,Luminara Solutions,Oracle Systems,Starburst Enterprises,Crimson Group,Echo Dynamics,Nova Industries,Aether Corp
1962,10024882.01,10024102.53,10041168.75,10756973.94,10416477.55,10474425.74,11106211.49
1963,9896739.59,12148970.01,11936943.2,8747510.75,10020690.82,8941889.53,9037643.73
1964,9090787.86,10766287.06,10586294.7,8041888.19,11489766.28,8395024.4,8129806.94
1965,8902775.41,7658760.6,8543475.01,6002267.92,10624623.06,6729620.58,6972059.43
1966,8735705.76,7906926.11,7912620.62,5759897.79,12991390.95,6691442.38,6494462.2
1967,9426927.42,9162772.38,9554859.77,6693133.61,12815866.27,6030933.24,5781360.45
1968,8137554.83,12749702.91,12341622.53,4972133.82,13019764.23,5515621.64,5030716.74
1969,8003121.37,12704827.87,11497263.46,5245750.83,12996301.41,5568576.07,5322142.94
1970,8409516.07,8616094.61,7850210.8,4325206.53,14449080.36,4660852.81,3733477.86
1971,6957537.42,7916123.13,7763577.18,3502732.05,14431153.36,4450173.78,4054548.65
1972,7524482.23,10204799.94,9412259.72,2889963.38,14913231.47,2976856.38,4192217.32
1973,6539011.3,12756210.87,12381360.31,3912427.87,15801604.48,3291876.14,3231726.36
1974,6568491.24,11086977.47,11194125.41,2352706.86,16031203.48,2883042.53,3445694.22
1975,6617602.83,8553951.79,8145074.13,2259636.76,16417930.14,2058989.14,2862978.69
1976,5228725.34,7756465.0,7246004.67,1527961.62,15958234.22,2334957.15,1546407.09
1977,6771672.91,9786197.64,10228757.99,1958595.47,18240144.35,2058702.26,2570315.05
1978,5580363.03,13002302.03,12064455.06,1492119.13,18447337.0,1911066.31,2008785.34
1979,4612709.91,11619674.93,11559816.48,1988167.11,17922899.77,696520.36,1619494.17
1980,4310166.24,8136626.31,8783219.38,1264221.27,18079307.91,1494533.79,2184771.25
