Energy and Utilities,Water Consumption,cubic meters
trend,exponential_rising,exponential_falling,volatile_rising,stable_rising
Year,Zenith Public Works,Borealis Water Cooperative,Aethelgard Aqueduct System,AquaFlow Utilities
1980,29347319.22,29365016.1,29895307.74,29802663.53
1981,33170619.01,27195908.43,33104446.06,31414478.03
1982,37032143.92,24524406.91,34901264.43,32747739.16
1983,39898641.68,21476690.49,37592790.89,34546417.67
1984,44148619.2,19843464.82,38887819.51,36341851.03
1985,48190333.74,17598481.82,42368472.25,37100095.63
1986,53913442.29,15928135.27,43910794.59,39112194.49
1987,58507192.41,14845389.48,47584153.33,40277418.31
1988,64447469.14,12447965.1,48710913.47,41641249.36
1989,70635299.26,11954600.78,52538363.99,43469561.14
1990,77567692.01,9729480.76,54017002.87,44222646.83
1991,85136123.83,9438820.24,55746699.17,46048050.54
1992,93977446.92,8443032.6,58930696.88,47497775.1
